Student 1: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=72.20
Student 202: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'B', 'SPORT': 'B', 'SCI': 'A'}, Average Score=70.40
Student 203: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=69.00
Student 204: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=76.20
Student 205: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'D', 'SPORT': 'D', 'SCI': 'D'}, Average Score=51.80
Student 206: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=69.20
Student 207: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=71.40
Student 208: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'D', 'SPORT': 'C', 'SCI': 'B'}, Average Score=75.40
Student 209: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'B'}, Average Score=72.20
Student 210: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=84.40
Student 211: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'C', 'SPORT': 'A', 'SCI': 'D'}, Average Score=58.80
Student 212: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=88.60
Student 213: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'F'}, Average Score=58.20
Student 214: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'F'}, Average Score=69.80
Student 215: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'D', 'SCI': 'C'}, Average Score=61.20
Student 216: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=73.20
Student 217: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'B'}, Average Score=77.40
Student 218: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=70.00
Student 219: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'D', 'SPORT': 'A', 'SCI': 'B'}, Average Score=74.40
Student 220: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'D'}, Average Score=55.40
Student 221: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'B', 'SCI': 'D'}, Average Score=71.40
Student 222: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'C'}, Average Score=70.00
Student 223: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'D', 'SPORT': 'D', 'SCI': 'B'}, Average Score=60.20
Student 224: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=75.60
Student 225: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=81.80
Student 226: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=72.20
Student 227: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'D', 'SPORT': 'C', 'SCI': 'A'}, Average Score=61.80
Student 228: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'F', 'SPORT': 'C', 'SCI': 'D'}, Average Score=62.00
Student 229: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=72.60
Student 230: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=67.40
Student 231: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=85.20
Student 232: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'F'}, Average Score=69.80
Student 233: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'D', 'SPORT': 'D', 'SCI': 'C'}, Average Score=57.20
Student 234: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=67.20
Student 235: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=73.80
Student 236: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'D', 'SPORT': 'D', 'SCI': 'B'}, Average Score=60.40
Student 237: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'F', 'SPORT': 'D', 'SCI': 'A'}, Average Score=61.80
Student 238: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'C'}, Average Score=74.60
Student 239: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=76.40
Student 240: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'F'}, Average Score=63.40
Student 241: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'D'}, Average Score=74.20
Student 242: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=86.40
Student 243: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'A', 'SPORT': 'B', 'SCI': 'B'}, Average Score=69.40
Student 244: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=81.60
Student 245: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'B', 'SPORT': 'A', 'SCI': 'B'}, Average Score=78.60
Student 246: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'F', 'SCI': 'D'}, Average Score=63.40
Student 247: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=72.40
Student 248: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'D', 'SPORT': 'B', 'SCI': 'A'}, Average Score=71.40
Student 249: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=79.00
Student 250: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=82.60
Student 251: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'C', 'SPORT': 'F', 'SCI': 'D'}, Average Score=61.20
Student 252: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'B', 'SPORT': 'C', 'SCI': 'F'}, Average Score=69.00
Student 253: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'F'}, Average Score=64.20
Student 254: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=70.20
Student 255: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=74.20
Student 256: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'D', 'SPORT': 'C', 'SCI': 'B'}, Average Score=67.60
Student 257: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'B', 'SPORT': 'F', 'SCI': 'B'}, Average Score=62.00
Student 258: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'B', 'SPORT': 'F', 'SCI': 'F'}, Average Score=57.20
Student 259: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=87.60
Student 260: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'B'}, Average Score=78.40
Student 261: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'C'}, Average Score=84.00
Student 262: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'F'}, Average Score=70.80
Student 263: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=70.40
Student 264: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'C', 'SPORT': 'B', 'SCI': 'A'}, Average Score=68.80
Student 265: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=73.60
Student 266: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'C', 'SPORT': 'F', 'SCI': 'A'}, Average Score=68.40
Student 267: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'D', 'SPORT': 'B', 'SCI': 'C'}, Average Score=72.40
Student 268: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'F'}, Average Score=70.80
Student 269: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'A', 'SPORT': 'B', 'SCI': 'C'}, Average Score=70.80
Student 270: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'F', 'SCI': 'B'}, Average Score=65.40
Student 271: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'F', 'SCI': 'F'}, Average Score=52.40
Student 272: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=69.00
Student 273: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'D'}, Average Score=67.60
Student 274: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'B'}, Average Score=61.20
Student 275: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=91.40
Student 276: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=78.40
Student 277: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=73.80
Student 278: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=83.20
Student 279: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'B', 'SPORT': 'C', 'SCI': 'A'}, Average Score=73.00
Student 280: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'D', 'SPORT': 'A', 'SCI': 'D'}, Average Score=71.40
Student 281: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'B', 'SCI': 'A'}, Average Score=80.00
Student 282: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=76.00
Student 283: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'F', 'SPORT': 'B', 'SCI': 'A'}, Average Score=66.40
Student 284: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'C'}, Average Score=77.60
Student 285: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'A', 'SPORT': 'D', 'SCI': 'C'}, Average Score=62.60
Student 286: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'D', 'SPORT': 'C', 'SCI': 'D'}, Average Score=61.40
Student 287: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'C'}, Average Score=81.40
Student 288: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=76.20
Student 289: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=74.00
Student 290: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'D', 'SPORT': 'D', 'SCI': 'A'}, Average Score=62.80
Student 291: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=68.40
Student 292: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'D', 'SPORT': 'A', 'SCI': 'B'}, Average Score=74.60
Student 293: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'D', 'SPORT': 'A', 'SCI': 'F'}, Average Score=67.80
Student 294: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=66.80
Student 295: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'F', 'SCI': 'D'}, Average Score=62.00
Student 296: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'D'}, Average Score=75.00
Student 297: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'B', 'SPORT': 'C', 'SCI': 'A'}, Average Score=75.80
Student 298: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'D', 'SCI': 'A'}, Average Score=76.20
Student 299: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=78.00
Student 300: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'D'}, Average Score=72.20
Student 301: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'F'}, Average Score=68.00
Student 302: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=67.00
Student 303: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'A', 'SPORT': 'F', 'SCI': 'C'}, Average Score=62.60
Student 304: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'D', 'SPORT': 'F', 'SCI': 'A'}, Average Score=60.20
Student 305: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'D', 'SPORT': 'A', 'SCI': 'B'}, Average Score=65.40
Student 306: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=77.40
Student 307: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'C', 'SPORT': 'F', 'SCI': 'A'}, Average Score=62.40
Student 308: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'C', 'SCI': 'D'}, Average Score=66.80
Student 309: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'C'}, Average Score=67.80
Student 310: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=75.80
Student 311: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'C', 'SPORT': 'C', 'SCI': 'A'}, Average Score=63.20
Student 312: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'B', 'SCI': 'F'}, Average Score=65.40
Student 313: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'D', 'SPORT': 'B', 'SCI': 'B'}, Average Score=64.20
Student 314: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'F', 'SCI': 'C'}, Average Score=64.40
Student 315: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'B', 'SPORT': 'C', 'SCI': 'D'}, Average Score=71.40
Student 316: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'F', 'SPORT': 'D', 'SCI': 'F'}, Average Score=56.80
Student 317: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.00
Student 318: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'B'}, Average Score=76.80
Student 319: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'B', 'SPORT': 'B', 'SCI': 'D'}, Average Score=72.60
Student 320: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=63.20
Student 321: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'D', 'SCI': 'D'}, Average Score=60.60
Student 322: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'C', 'SPORT': 'F', 'SCI': 'F'}, Average Score=46.80
Student 323: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'D'}, Average Score=67.20
Student 324: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'F', 'SCI': 'F'}, Average Score=67.40
Student 325: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'B', 'SPORT': 'F', 'SCI': 'A'}, Average Score=57.60
Student 326: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=89.80
Student 327: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'D'}, Average Score=56.20
Student 328: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'F'}, Average Score=70.20
Student 329: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'F'}, Average Score=68.40
Student 330: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'D', 'SPORT': 'D', 'SCI': 'B'}, Average Score=63.80
Student 331: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'B', 'SPORT': 'B', 'SCI': 'D'}, Average Score=64.60
Student 332: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'F', 'SCI': 'A'}, Average Score=66.80
Student 333: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=62.80
Student 334: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'D', 'SPORT': 'A', 'SCI': 'F'}, Average Score=62.60
Student 335: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'B', 'SPORT': 'D', 'SCI': 'A'}, Average Score=63.60
Student 336: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'D'}, Average Score=77.40
Student 337: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=71.00
Student 338: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=76.20
Student 339: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=84.80
Student 340: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'F'}, Average Score=62.80
Student 341: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'B'}, Average Score=75.60
Student 342: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'B', 'SPORT': 'C', 'SCI': 'A'}, Average Score=84.60
Student 343: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=81.20
Student 344: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'D', 'SCI': 'C'}, Average Score=58.40
Student 345: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'D'}, Average Score=83.00
Student 346: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'A', 'SPORT': 'D', 'SCI': 'C'}, Average Score=63.60
Student 347: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=75.80
Student 348: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=75.80
Student 349: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'B', 'SPORT': 'B', 'SCI': 'B'}, Average Score=74.20
Student 350: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'D', 'SCI': 'C'}, Average Score=70.60
Student 351: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'F', 'SCI': 'A'}, Average Score=65.40
Student 352: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=75.00
Student 353: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'C', 'SPORT': 'B', 'SCI': 'A'}, Average Score=62.60
Student 354: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'B'}, Average Score=69.00
Student 355: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'F'}, Average Score=64.40
Student 356: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'A', 'SPORT': 'F', 'SCI': 'C'}, Average Score=62.40
Student 357: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'B', 'SPORT': 'A', 'SCI': 'B'}, Average Score=75.80
Student 358: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=81.80
Student 359: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=66.00
Student 360: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=71.20
Student 361: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=63.80
Student 362: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=69.80
Student 363: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'D'}, Average Score=64.80
Student 364: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=81.80
Student 365: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'B', 'SCI': 'C'}, Average Score=76.00
Student 366: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=69.80
Student 367: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=92.00
Student 368: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=76.80
Student 369: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'C'}, Average Score=74.20
Student 370: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'F'}, Average Score=58.60
Student 371: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=86.20
Student 372: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'A', 'SPORT': 'F', 'SCI': 'F'}, Average Score=59.00
Student 373: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'D'}, Average Score=64.60
Student 374: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=87.20
Student 375: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'B', 'SCI': 'A'}, Average Score=69.80
Student 376: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=70.60
Student 377: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=73.60
Student 378: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'D', 'SCI': 'C'}, Average Score=68.40
Student 379: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=84.40
Student 380: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'C', 'SPORT': 'D', 'SCI': 'C'}, Average Score=60.60
Student 381: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'F', 'SPORT': 'A', 'SCI': 'D'}, Average Score=67.80
Student 382: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=73.20
Student 383: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=84.20
Student 384: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=81.20
Student 385: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=73.00
Student 386: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'B', 'SCI': 'F'}, Average Score=72.20
Student 387: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'D', 'SPORT': 'C', 'SCI': 'B'}, Average Score=70.40
Student 388: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'D'}, Average Score=75.00
Student 389: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=86.00
Student 390: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'F', 'SPORT': 'D', 'SCI': 'A'}, Average Score=63.80
Student 391: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'C'}, Average Score=63.60
Student 392: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'F', 'SCI': 'C'}, Average Score=65.80
Student 393: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'B', 'SPORT': 'C', 'SCI': 'F'}, Average Score=65.20
Student 394: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'B', 'SPORT': 'C', 'SCI': 'F'}, Average Score=64.20
Student 395: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'B', 'SPORT': 'F', 'SCI': 'F'}, Average Score=60.40
Student 396: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=71.60
Student 397: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'F', 'SCI': 'F'}, Average Score=64.60
Student 398: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'B', 'SPORT': 'C', 'SCI': 'C'}, Average Score=66.20
Student 399: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=75.40
Student 400: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'D', 'SPORT': 'F', 'SCI': 'B'}, Average Score=62.60
Student 401: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'F', 'SCI': 'D'}, Average Score=59.80
Student 402: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'C', 'SPORT': 'B', 'SCI': 'A'}, Average Score=80.40
