Student   ENG     MATH    CP      SPORT   SCI     AVG     
929       A       C       B       B       D       B       
930       F       C       D       F       C       D       
931       D       A       C       A       F       B       
932       A       A       A       B       A       A       
933       A       D       A       A       C       A       
934       A       B       B       A       C       B       
935       B       C       D       C       B       C       
936       C       A       D       A       B       B       
937       D       D       D       A       C       C       
938       A       A       D       A       B       A       
939       B       C       F       A       F       C       
940       A       B       C       B       D       B       
941       C       B       A       C       B       B       
942       A       D       B       B       D       C       
943       C       F       B       D       C       D       
944       C       F       D       D       A       C       
945       C       B       B       A       C       B       
946       C       A       B       A       B       A       
947       C       A       C       A       D       B       
948       F       B       A       B       F       C       
949       F       A       C       F       D       D       
950       B       F       B       F       B       C       
951       F       D       A       B       C       C       
952       A       B       A       C       F       B       
953       A       A       A       A       A       A       
954       F       D       B       F       B       D       
955       F       B       F       F       F       F       
956       C       A       B       A       A       A       
957       A       A       C       A       B       A       
958       C       A       F       F       B       C       
959       F       C       C       C       A       C       
960       A       A       F       C       C       B       
961       B       A       B       F       A       B       
962       A       C       F       A       B       C       
963       A       D       C       D       D       C       
964       A       A       A       B       C       A       
965       F       A       A       B       C       B       
966       A       A       A       B       C       A       
967       F       D       B       D       D       D       
968       D       F       A       B       A       B       
969       F       D       A       A       C       B       
970       A       A       A       C       A       A       
971       A       A       D       B       C       B       
972       D       B       D       A       F       C       
973       D       D       D       D       C       D       
974       C       A       A       F       F       C       
975       A       B       B       A       D       B       
976       A       A       A       A       D       A       
977       A       C       A       A       C       B       
978       F       C       B       A       A       B       
979       B       F       D       C       D       D       
980       A       A       F       B       A       B       
981       A       C       A       B       D       B       
982       A       A       C       F       B       B       
983       D       D       A       D       F       D       
984       B       A       C       D       A       B       
985       A       D       C       F       F       C       
986       A       A       F       B       A       A       
987       D       D       F       D       F       D       
988       A       D       A       D       A       B       
989       F       A       A       C       B       C       
990       D       F       D       C       D       D       
991       A       A       D       A       D       B       
992       B       A       A       B       B       B       
993       D       A       F       A       D       C       
994       D       A       D       D       A       B       
995       B       D       B       D       D       C       
996       D       B       A       A       B       B       
997       A       D       A       C       C       B       
998       A       F       B       F       D       C       
999       F       D       C       B       B       C       
1000      A       A       D       C       B       B       
